10 Second Ninja X~Platform~Four Circle Int.~Curve Digital~No~Unreleased~Jul 19, 2016~Jul 19, 2016~	[3]
100ft Robot Golf~Sport~No Goblin~No Goblin~Console~Oct 10, 2016~Oct 10, 2016~Oct 10, 2016~ VR ~
101 Ways to Die~Platform, puzzle~Four Door Lemon~Vision Games~No~Mar 22, 2016~Mar 22, 2016~Mar 22, 2016~	[4]
140~Platform~Double Fine Prod.~Abstraction Games~No~Sep 1, 2016~Sep 1, 2016~Sep 1, 2016~
1001 Spikes~Platform~8bits Fanatics~Nicalis~No~Nov 27, 2015~Oct 7, 2015~Jun 3, 2014~	[5]
13 Sentinels: Aegis Rim~Mecha~Vanillaware~Atlus~Sony~2018~TBA~TBA~
2064: Read Only Memories~Adventure~MidBoss~MidBoss~Timed~Jan 17, 2017~Jan 17, 2017~Jan 17, 2017~	[6]
20XX~Action, platform~Batterystaple Games~Batterystaple Games~No~2018~2018~2018~
The 25th Ward: The Silver Case~Visual novel~Grasshopper~NIS America~Console~Mar 15, 2018~2018~2018~
2Dark~Horror, stealth~Gloomywood~Bigben Int.~No~Jun 29, 2017~Mar 10, 2017~Mar 10, 2017~	[7]
428: Shibuya Scramble~Visual novel~Abstraction Games~Spike Chunsoft~No~Q1 2018~Q1 2018~Q1 2018~
7 Days to Die~Survival~The Fun Pimps~Telltale Publishing~No~Jun 28, 2016~Jul 1, 2016~Jun 28, 2016~
8-Bit Armies~Real-time strategy~Petroglyph Games~Soedesco~No~TBA~TBA~TBA~
8-Bit Hordes~Real-time strategy~Petroglyph Games~Soedesco~No~TBA~TBA~TBA~
88 Heroes~Platform~Bitmap Bureau~Rising Star Games~No~Unreleased~Mar 24, 2017~Mar 24, 2017~	[8]
99Vidas~Beat 'em up~QuByte Int.~QuByte Int.~No~Dec 8, 2017~Dec 8, 2017~Jul 18, 2017~ Vita ~
A-Train Express~Simulation~Artdink~Artdink~Yes~Dec 21, 2017~TBA~TBA~ VR ~
Aaero~Shooter~Mad Fellows Games~Reverb Triple XP~No~Unreleased~Apr 11, 2017~Apr 11, 2017~
Aaru's Awakening~Platform~Lumenox Games~Lumenox Games~No~Aug 5, 2015~Apr 8, 2015~Apr 7, 2015~	[9]
A Boy and His Blob~Platform, puzzle~Abstraction Games~Majesco Ent~No~Jan 19, 2016~Jan 19, 2016~Jan 19, 2016~
Absolute Drift: Zen Edition~Racing~Funselektor Labs~Flippfly~No~Unreleased~Aug 16, 2016~Aug 23, 2016~
Absolver~Action RPG~Sloclap~Devolver Digital~Timed~Aug 29, 2017~Aug 29, 2017~Aug 29, 2017~	[10]
Abzû~Adventure, art~Giant Squid~505 Games~No~Aug 2, 2016~Aug 2, 2016~Aug 2, 2016~ P ~[11]
Accel World VS Sword Art Online~Action RPG~	Bandai Namco Ent.~Console~Mar 16, 2017~Jul 7, 2017~Jul 7, 2017~
Ace Combat 7: Skies Unknown~Flight simulator~Project Aces~Bandai Namco Ent.~No~2018~2018~2018~ VR ~
A Certain Magical Virtual-On~Action~Sega~Sega~Sony~Feb 15, 2018~TBA~TBA~
Act It Out! A Game of Charades~Party~Snap Finger Click~Snap Finger Click~No~Unreleased~Jan 12, 2016~Jan 5, 2016~
Action Henk~Platform~RageSquid~Curve Digital~No~Mar 8, 2016~Mar 8, 2016~Mar 8, 2016~
Adrift~First-person~Three One Zero~505 Games~Console~Jul 15, 2016~Jul 15, 2016~Jul 15, 2016~	[12]
Adventures of Pip~Platform~Tic Toc Games~Tic Toc Games~No~Unreleased~Feb 9, 2016~Aug 18, 2015~	[13]
Adventures of Scarlet Curiosity~Action RPG~Ankake Supa~Mediascape~Console~Sep 27, 2016~Unreleased~Unreleased~
Adventure Time: Finn & Jake Investigations~Action-adventure~Vicious Cycle Software~Little Orbit~No~Unreleased~Nov 6, 2015~Oct 20, 2015~	[14]
Aegis of Earth: Protonovus Assault~Tower defense~Acquire~Aksys Games~Console~Unreleased~Apr 22, 2016~Mar 15, 2016~	[15]
AER - Memories of Old~Adventure~Forgotten Key~Daedalic Ent.~No~Oct 25, 2017~Oct 25, 2017~Oct 25, 2017~
AeternoBlade~Action~Corcell Technology~Corcell Technology~No~Apr 26, 2016~Aug 5, 2015~Aug 4, 2015~	[16]
A Few Days Left~	ALYJC Software~ALYJC Software~Yes~Released exclusively in China (2017)~	[17]
Agatha Christie: The ABC Murders~Point-and-click adventure~Artefacts Studio~Microïds~No~Apr 28, 2017~Feb 4, 2016~Feb 23, 2016~	[18]
Agents of Mayhem~Action, third-person~Volition~Deep Silver~No~Dec 7, 2017~Aug 18, 2017~Aug 15, 2017~ P ~[2]
Agony~Survival Horror~Madmind Studio~PlayWay~No~Mar 30, 2018~Mar 30, 2018~Mar 30, 2018~
A Hat in Time~Platform~Gears for Breakfast~Gears for Breakfast~No~Unreleased~Dec 6, 2017~Dec 6, 2017~	[19]
A Healer Only Lives Twice~Dungeon crawl~Pon Pon Games~Platine Dispositif~Console~Unreleased~Jul 25, 2017~Unreleased~
AIPD~Shoot 'em up~Blazing Badger~Blazing Badger~No~Unreleased~Jan 29, 2016~Jan 29, 2016~	[20]
Air Conflicts: Pacific Carriers~Flight simulator~Games Farm~Kalypso Media~No~Unreleased~Nov 6, 2015~Nov 3, 2015~	[21]
Air Conflicts: Vietnam~Flight simulator~Games Farm~bitComposer~No~Unreleased~Unreleased~Nov 26, 2013~
Airport Architect~Simulation~UIG Ent.~UIG Ent.~No~TBA~TBA~TBA~
Airship Q~Action RPG~Miracle Positive~Miracle Positive~Sony~Nov 19, 2015~Unreleased~Unreleased~
Akiba's Beat~Action RPG~Acquire~Marvelous USA~Console~Dec 15, 2016~Mar 19, 2017~May 2, 2017~	[22]
Akiba's Trip: Undead & Undressed~Action RPG~Acquire~Marvelous USA~Console~Jul 3, 2014~Feb 13, 2015~Nov 25, 2014~	[23]
Alekhine's Gun~Action, stealth~Haggard Games~Maximum Games~No~Nov 10, 2015~Mar 11, 2016~Nov 1, 2015~
Alienation~Shoot 'em up~Housemarque~Sony Interactive Ent.~Yes~Jun 2, 2016~Apr 26, 2016~Apr 26, 2016~	[24]
Alien: Isolation~Survival horror~Creative Assembly~Sega~No~Jun 11, 2015~Oct 7, 2014~Oct 7, 2014~ C ~[25]
Alone with You~Adventure~Benjamin Rivers~Benjamin Rivers~Console~Unreleased~Aug 23, 2016~Aug 23, 2016~
Always Sometimes Monsters~RPG~Vagabond Dog~Devolver Digital~Console~Unreleased~Oct 10, 2017~Oct 10, 2017~
Amazing Discoveries in Outer Space~Platform~Cosmic Picnic~Cosmic Picnic~Yes~Unreleased~Feb 3, 2016~Feb 2, 2016~	[20]
The Amazing Spider-Man 2~Action-adventure~Beenox~Activision~No~Sep 4, 2014~May 2, 2014~Apr 29, 2014~	[26]
Amnesia Collection~Survival horror~Frictional Games~Frictional Games~Console~Nov 22, 2016~Nov 22, 2016~Nov 22, 2016~ P ~[27]
Among the Sleep~Survival horror~Krillbite Studio~Krillbite Studio~No~Dec 10, 2015~Dec 10, 2015~Dec 10, 2015~	[28]
Amplitude~Music, rhythm~Harmonix~Harmonix~Sony~Jan 5, 2016~Jan 5, 2016~Jan 5, 2016~	[29]
Anarcute~Action~AnarTeam~AnarTeam~No~TBA~TBA~TBA~
Anew: The Distant Light~Action, puzzle~Resonator~Resonator~No~TBA~TBA~TBA~
Anger Force~	Xindong Network~Xindong Network~Yes~Released exclusively in China (Sep 2015)~	[17]
Angry Birds Star Wars~Puzzle~Exient Ent~Activision~No~Unreleased~Nov 29, 2013~Nov 15, 2013~ C  M ~[30]
Anima: Gate of Memories~Action RPG~Anima Project~BadLand Games~No~Jan 1, 2017~Jun 3, 2016~Mar 21, 2017~	[31]
Anodyne~RPG~Analgesic Prod.~Nnooo~No~TBA~TBA~TBA~
Anoko wa Ore kara Hanarenai[ja]~Visual novel~Giga~TGL~Console~Dec 18, 2014~Unreleased~Unreleased~
Anomaly 2~Real-time strategy~11 bit studios~11 bit studios~Console~Unreleased~Sep 17, 2014~Sep 16, 2014~	[32]
Anonymous;Code~Visual novel~5pb., Chiyomaru Studio~5pb.~No~TBA~Unreleased~Unreleased~
Another World: 20th Anniversary Edition~Cinematic platformer~The Digital Lounge~The Digital Lounge~No~Jun 25, 2014~Jun 25, 2014~Jun 25, 2014~
Anthem~Action RPG~BioWare~Electronic Arts~No~2018~2018~2018~
Antiquia Lost~RPG~EXE-Create~Kemco~No~Aug 16, 2017~Sep 5, 2017~Sep 5, 2017~
A Pixel Story~Platform, puzzle~Lamplight Studios~Rising Star Games~No~Feb 24, 2017~Feb 24, 2017~Feb 24, 2017~
A Plague Tale: Innocence~Action-adventure~Asobo Studio~Focus Home Int.~No~2018~2018~2018~
Apotheon~Action RPG, platform~Alientrap~Alientrap~Console~Feb 3, 2015~Feb 3, 2015~Feb 3, 2015~	[24]
Aqua Moto Racing Utopia~Racing~Zordix AB~Zordix AB~No~Unreleased~Nov 30, 2016~Nov 29, 2016~	[33]
Aragami~Action, stealth~Lince Works~Merge Games~Timed~Oct 4, 2016~Oct 4, 2016~Oct 4, 2016~
Arcade Archives: A-Z~Assorted~Assorted~Hamster~No~Assorted~Assorted~Assorted~	[34]
Arcade Game Series: A-Z~Assorted~Assorted~Bandai Namco Ent.~No~Assorted~Assorted~Assorted~
Arcania: The Complete Tale~Action RPG~Black Forest Games~Nordic Games~No~Unreleased~May 8, 2015~May 12, 2015~	[35]
Ark: Survival Evolved~Action, survival~Studio Wildcard~Studio Wildcard~No~Aug 29, 2017~Aug 29, 2017~Aug 29, 2017~ P  VR ~
Armello~Board game, RPG~League of Geeks~League of Geeks~No~Sep 2, 2015~Sep 1, 2015~Sep 1, 2015~
Arslan: The Warriors of Legend~Action~Koei Tecmo~Koei Tecmo~No~Oct 1, 2015~Feb 12, 2016~Feb 9, 2016~	[36]
Art of Balance~Puzzle~Shin'en Multimedia~Shin'en Multimedia~No~Unreleased~Jun 3, 2016~Jun 3, 2016~ M ~[37]
Asemblance~Adventure~Nilo Studios~Nilo Studios~Console~Unreleased~Jul 26, 2016~Jun 21, 2016~	[38]
Ashen Rift~Survival horror~Pyroclastic Games~Pyroclastic Games~Console~TBA~TBA~TBA~
Ashes Cricket~Sports~Big Ant Studios~Big Ant Studios~No~Nov 16, 2017~Nov 16, 2017~Nov 16, 2017~
Assassin's Creed Chronicles~Action-adv, stealth~Climax Studios~Ubisoft~No~Assorted~Assorted~Assorted~	[39]
Assassin's Creed IV: Black Flag~Action-adv, stealth~Ubisoft Montreal~Ubisoft~No~Feb 22, 2014~Nov 22, 2013~Nov 15, 2013~	[30]
Assassin's Creed: Origins~Action-adv, stealth~Ubisoft~Ubisoft~No~Oct 27, 2017~Oct 27, 2017~Oct 27, 2017~ HDR  P ~
Assassin's Creed Syndicate~Action-adv, stealth~Ubisoft Quebec~Ubisoft~No~Oct 23, 2015~Oct 23, 2015~Oct 23, 2015~ P ~[14]
Assassin's Creed: The Ezio Collection~Action-adventure~Virtuos~Ubisoft~No~Nov 15, 2016~Nov 15, 2016~Nov 15, 2016~ P ~
Assassin's Creed Unity~Action-adv, stealth~Ubisoft Toronto~Ubisoft~No~Dec 4, 2014~Nov 13, 2014~Nov 11, 2014~	[40]
Assault Android Cactus~Shoot 'em up~Witch Beam~Witch Beam~No~Mar 9, 2016~Mar 8, 2016~Mar 8, 2016~
Assault Suit Leynos~Shooter~Dracue Software~Extreme Co.~Console~Dec 23, 2015~Jul 14, 2016~Jul 12, 2016~	[12]
The Assembly~Adventure~nDreams~nDreams~No~Oct 13, 2016~Oct 13, 2016~Oct 13, 2016~ P  VR ~
Assetto Corsa~Racing~Kunos Simulazioni~505 Games~No~Unreleased~Aug 26, 2016~Aug 30, 2016~	[41]
Astraea~City-building~Norwind Int~Norwind Int~No~TBA~TBA~TBA~
Atari Flashback Classics: Volume 1~Arcade~Atari~Atari~No~Unreleased~Jan 18, 2017~Oct 13, 2016~
Atari Flashback Classics: Volume 2~Arcade~Atari~Atari~No~Unreleased~Jan 18, 2017~Oct 13, 2016~
Atelier Firis: The Alchemist and the Mysterious Journey~RPG~Gust~Koei Tecmo~Console~Nov 2, 2016~Mar 7, 2017~Mar 10, 2017~ P ~[7]
Atelier Lydie & Suelle: Alchemists of the Mysterious Painting~RPG~Gust~Koei Tecmo~No~Dec 21, 2017~Mar 30, 2018~Mar 27, 2018~
Atelier Sophie: The Alchemist of the Mysterious Book~RPG~Gust Co. Ltd.~Tecmo Koei~Console~Nov 19, 2015~Jun 10, 2016~Jun 7, 2016~	[31]
Attack on Titan~Action~Omega Force~Koei Tecmo~No~Feb 18, 2016~Aug 26, 2016~Aug 30, 2016~	[41]
Attack on Titan 2~Action~Omega Force~Koei Tecmo~No~Mar 15, 2018~Mar 20, 2018~Mar 20, 2018~	[42]
Attractio~First-person, puzzle~GameCoder / Renderfarm~Bandai Namco Ent.~Console~Unreleased~Feb 17, 2016~Jan 19, 2016~
ATV Drift & Tricks~Racing~GameCoder / Renderfarm~Funbox Media~Console~Unreleased~Oct 26, 2017~Oct 26, 2017~
Aven Colony~Simulation~Mothership Ent.~Team17~No~Jul 25, 2017~Jul 25, 2017~Jul 25, 2017~
Away: Journey to the Unexpected~Roguelike~Playdius Ent.~Playdius Ent.~No~TBA~TBA~TBA~
A Way Out~Action-adventure~Hazelight Studios~Electronic Arts~No~Mar 23, 2018~Mar 23, 2018~Mar 23, 2018~
Awesomenauts Assemble~Battle arena~Abstraction Games~Ronimo Games~No~Unreleased~Mar 5, 2014~Mar 4, 2014~	[43]
Axiom Verge~Metroidvania~Thomas Happ Games~Thomas Happ Games~No~Mar 31, 2015~Mar 31, 2015~Mar 31, 2015~	[44]
Azkend 2~Puzzle~10tons~10tons~No~Unreleased~May 3, 2016~May 3, 2016~
Aztez~Turn-based strategy~Team Colorblind~Team Colorblind~No~TBA~TBA~TBA~
Backgammon Blitz~Board game~VooFoo Studios~VooFoo Studios~Console~Unreleased~Dec 18, 2013~Apr 15, 2014~ PS3  Vita ~[45]
Back to Bed~Puzzle~Loot Ent~Loot Ent~No~Feb 9, 2017~Aug 25, 2015~Aug 25, 2015~
Back to the Future: The Game – 30th Anniversary Edition~Adventure~Telltale Games~Telltale Games~No~Oct 13, 2015~Oct 13, 2015~Oct 13, 2015~	[46]
Badass Hero~Action, platform~Awesome Games~Awesome Games~No~2017~2017~2017~
Badland: Game of the Year Edition~Platform~Frogmind~Frogmind~No~Unreleased~May 28, 2015~May 26, 2015~
The Banner Saga~Tactical RPG~Versus Evil~Versus Evil~No~Jan 12, 2016~Jan 12, 2016~Jan 12, 2016~
The Banner Saga 2~Tactical RPG~Versus Evil~Versus Evil~No~Jul 5, 2016~Jul 5, 2016~Jul 5, 2016~	[47]
Baja: Edge of Control HD~Racing~2XL Games~THQ Nordic~No~Unreleased~Sep 14, 2017~Sep 14, 2017~
Bastion~RPG~Supergiant Games~Warner. Bros. Int. Ent.~No~Apr 7, 2015~Apr 7, 2015~Apr 7, 2015~
Basement Crawl~Action, strategy~Bloober Team~Bloober Team~Yes~Unreleased~Feb 26, 2014~Feb 25, 2014~	[43]
Batman: Arkham Knight~Action-adventure~Rocksteady Studios~Warner Bros Int Ent~No~Jul 2, 2015~Jun 23, 2015~Jun 23, 2015~	[29]
Batman: Return to Arkham~Action-adventure~Rocksteady Studios~Warner Bros. Int. Ent.~No~Feb 23, 2017~Oct 18, 2016~Oct 18, 2016~ P ~
Batman: The Telltale Series~Graphic adventure~Telltale Games~Telltale Games~No~Aug 2, 2016~Aug 2, 2016~Aug 2, 2016~	[11]
Batman: The Enemy Within~Graphic adventure~Telltale Games~Telltale Games~No~Aug 8, 2017~Aug 8, 2017~Aug 8, 2017~
Battalion 1944~First-person shooter~Bulkhead Int.~Square Enix~No~2018~2018~2018~
Battle Chasers: Nightwar~RPG~Airship Syndicate~Nordic Games~No~Oct 3, 2017~Oct 3, 2017~Oct 3, 2017~
Battlefield 1~First-person shooter~EA DICE~Electronic Arts~No~Oct 21, 2016~Oct 21, 2016~Oct 21, 2016~ HDR  P ~
Battlefield 4~First-person shooter~EA DICE~Electronic Arts~No~Feb 22, 2014~Nov 29, 2013~Nov 15, 2013~	[30]
Battlefield Hardline~First-person shooter~Visceral Games~Electronic Arts~No~Mar 19, 2015~Mar 19, 2015~Mar 17, 2015~
Battle Garegga Rev.2016~Shoot 'em up~M2~M2~No~Dec 12, 2016~Unreleased~Oct 6, 2016~
Battle of the Bulge~Strategy~Slitherine Software~Slitherine Software~No~TBA~TBA~TBA~
Battleship~Strategy~Frima Studio~Ubisoft~No~Unreleased~Aug 12, 2016~Aug 16, 2016~
Battlestar Galactica: Deadlock~Strategy~Slitherine Games~Black Lab Games~No~Unreleased~Dec 8, 2017~Dec 8, 2017~
Battle Worlds: Kronos~Turn-based strategy~King Art Games~Nordic Games~No~Unreleased~Apr 26, 2016~Apr 26, 2016~
Bears Can't Drift!?~Racing~Strangely Named~Strangely Named~Console~Unreleased~Aug 9, 2016~Aug 30, 2016~	[41]
Beat the Game~Adventure~Worm Animation~Worm Animation~No~TBA~TBA~TBA~
Bedlam~First-person shooter~RedBedlam~RedBedlam~No~Unreleased~Oct 14, 2015~Oct 13, 2015~	[46]
Ben 10~Action-adventure~Outright Games~Bandai Namco Ent.~No~Nov 10, 2017~Nov 10, 2017~Nov 10, 2017~
Berserk and the Band of the Hawk~Action RPG, hack and slash~Omega Force~Koei Tecmo~Console~Oct 27, 2016~Feb 24, 2017~Feb 21, 2017~ P ~[8]
Beyond Eyes~Adventure~Tiger and Squid~Team 17~No~Sep 8, 2015~Sep 8, 2015~Sep 8, 2015~	[48]
Beyond: Two Souls~Interactive drama~Quantic Dream~Sony Computer Ent.~Sony~Jun 1, 2016~Nov 26, 2015~Nov 24, 2015~
Binaries~Platform, puzzle~Ant Workshop~Ground Shatter~No~Unreleased~Aug 30, 2016~Aug 30, 2016~	[41]
Biomutant~Action RPG~Experiment 101~THQ Nordic~No~Unreleased~2018~2018~
The Binding of Isaac: Rebirth~Action-adv, roguelike~Nicalis~Nicalis~No~Oct 28, 2015~Nov 5, 2014~Nov 4, 2014~
BioShock: The Collection~First-person shooter~Blind Squirrel Games~2K Games~No~Sep 16, 2016~Sep 16, 2016~Sep 13, 2016~	[49]
Birthdays the Beginning~Strategy~Toybox Games~NIS America~Console~Jan 19, 2017~May 12, 2017~May 9, 2017~ P ~
The Bit.Trip~Action~Choice Provisions~Choice Provisions~No~Dec 5, 2015~Dec 5, 2015~Dec 5, 2015~
Black & White Bushido~Brawler, stealth~Endemol~Endemol~No~Unreleased~May 17, 2017~May 17, 2017~	[22]
Black The Fall~Adventure, platform~Sand Sailor Studio~	No~Jul 11, 2017~Jul 11, 2017~Jul 11, 2017~
Blade Strangers~Fighting~Nicalis~Nicalis~No~Unreleased~Q4 2017~Q4 2017~
Blackguards: Definitive Edition~Turn-based tactics~Daedalic Ent.~Kalypso Media~No~TBA~TBA~TBA~
Black Desert Online~MMORPG~Pearl Abyss~Pearl Abyss~No~2018~2018~2018~
Blackguards 2~Turn-based tactics~Daedalic Ent.~Kalypso Media~No~Sep 12, 2017~Sep 12, 2017~Sep 12, 2017~
Blackhole~Platform, puzzle~FiolaSoft Studio~FiolaSoft Studio~No~Unreleased~Unreleased~Aug 8, 2017~
Blackwood Crossing~Adventure~PaperSeven~PaperSeven~No~Unreleased~Apr 4, 2017~Apr 4, 2017~	[50]
Blade Arcus from Shining EX~Fighting~Sega~Sega~Console~Nov 26, 2015~Unreleased~Unreleased~	[23]
Blade Ballet~Action, battle~DreamSail Games~DreamSail Games~Console~Unreleased~Unreleased~Aug 9, 2016~	[51]
Bladestorm: Nightmare~Real-time tactics~Koei Tecmo~Koei Tecmo~No~Jan 29, 2015~Mar 20, 2015~Mar 17, 2015~
Blast 'Em Bunnies~Shooter~Nnooo~Nnooo~No~Mar 9, 2016~Mar 9, 2016~Mar 8, 2016~
Blast Brawl 2~Fighting, platform~Mind's Eye Games~Mind's Eye Games~No~TBA~TBA~TBA~
Blasting Agent Ultimate Edition~Platform, shooter~Ratalaika Games~Ratalaika Games~No~TBA~TBA~TBA~
BlazBlue: Central Fiction~Fighting~Arc System Works~Aksys Games~Console~Oct 6, 2016~Nov 4, 2016~Nov 1, 2016~ P ~[52]
BlazBlue Chrono Phantasma Extend~Fighting~Arc System Works~Aksys Games~No~Apr 23, 2015~Oct 23, 2015~Jun 30, 2015~ PS3 ~
BlazBlue: Cross Tag Battle~Fighting~Arc System Works~Arc System Works~No~2018~2018~2018~
Blazerush~Vehicular combat~Targem Games~Targem Games~Console~Unreleased~Dec 15, 2015~Dec 16, 2015~
Bleed~Platform~Bootdisk Revolution~Digerati~No~Unreleased~Aug 23, 2017~Aug 22, 2017~
Bloodborne~Action RPG~From Software~Sony Computer Ent.~Yes~Mar 26, 2015~Mar 25, 2015~Mar 24, 2015~	[53]
Blood Bowl 2~Sport, turn-based strategy~Cyanide~Focus Home Int.~No~Sep 22, 2015~Sep 22, 2015~Sep 22, 2015~	[54]
Bloodstained: Ritual of the Night~Metroidvania~Inti Creates~Deep Silver~No~Q1 2018~Q1 2018~Q1 2018~
Bloons TD 5~Strategy, puzzle~Ninja Kiwi~Ninja Kiwi~No~Unreleased~May 9, 2017~May 9, 2017~
Blue Estate~First-person shooter~Hesaw~Focus Home Int.~No~Unreleased~Jun 24, 2014~Jun 24, 2014~	[43]
Blue Reflection~RPG~Gust Co. Ltd.~Koei Tecmo~Console~Mar 30, 2017~Sep 29, 2017~Sep 26, 2017~	[55]
Blue Rider~Shooter~Ravegan~Ravegan~No~Mar 10, 2017~Sep 9, 2016~Jul 26, 2016~
Blues and Bullets~Action-adventure~A Crowd of Monsters~A Crowd of Monsters~No~Apr 20, 2016~Apr 20, 2016~Apr 20, 2016~
Boiling Bolt~Shoot 'em up~Persistant Studios~Playdius Ent.~No~Dec 5, 2017~Dec 5, 2017~Dec 5, 2017~
Bokosuka Wars II~Strategy~Pygmy Studio~Pygmy Studio~No~Nov 10, 2016~Unreleased~Oct 17, 2017~
The Book of Unwritten Tales 2~Adventure~King Art Games~505 Games~No~Sep 18, 2015~Sep 18, 2015~Sep 18, 2015~
Borderlands: The Handsome Collection~First-person shooter~Gearbox Software~2K Games~No~May 14, 2015~Mar 27, 2015~Mar 24, 2015~
Bound~3D platform, art~Plastic~Sony Interactive Ent.~Yes~Aug 16, 2016~Aug 16, 2016~Aug 16, 2016~ 3D  P  VR ~
Bound by Flame~Action RPG~Spiders~Focus Home Int.~No~May 9, 2014~May 9, 2014~May 9, 2014~	[43]
Boundless~Sandbox~Wonderstruck~Wonderstruck~Console~2017~2017~2017~ PC ~[56]
Brawl~Action, party~Bloober Team~Bloober Team~Console~Unreleased~Apr 28, 2015~Apr 24, 2015~	[24]
Brawlout~Fighting~Angry Mob Games~Angry Mob Games~No~2017~2017~2017~
The Bridge~Puzzle~TQAG~TQAG~No~Aug 18, 2015~Aug 18, 2015~Aug 18, 2015~	[13]
Bridge Constructor~Simulation~Clockstone~Headup Games~No~Jun 16, 2017~Dec 14, 2016~Dec 13, 2016~
Broforce~Platform, run-and-gun~Free Lives~Devolver Digital~Console~Mar 2, 2016~Mar 1, 2016~Mar 1, 2016~	[24]
Broken Age: The Complete Adventure~Point-and-click adventure~Double Fine Prod.~Double Fine Prod.~No~Unreleased~Apr 29, 2015~Apr 28, 2015~
Broken Sword 5~Point-and-click adventure~Revolution Software~Revolution Software~No~Sep 4, 2015~Sep 4, 2015~Sep 4, 2015~	[48]
Brothers: A Tale of Two Sons~Puzzle, adventure~Starbreeze Studios~505 Games~No~Aug 12, 2015~Aug 12, 2015~Aug 12, 2015~	[57]
Brutal~Action RPG~Stormcloud Games~Stormcloud Games~Console~Oct 20, 2016~Aug 9, 2016~Aug 9, 2016~	[51]
The Bug Butcher~Action~Awfully Nice Studios~Triangle Studios~No~Unreleased~Oct 18, 2016~Oct 18, 2016~
BugsBox~Action, puzzle~Park ESM~Park ESM~Yes~May 16, 2017~Jun 5, 2017~TBA~	[58]
Buildanauts~Simulation~TouchTilt Games~TouchTilt Games~No~2017~2017~2017~
Bulletstorm: Full Clip Edition~First-person shooter~People Can Fly~Gearbox Software~No~Apr 7, 2017~Apr 7, 2017~Apr 7, 2017~ P ~[50]
Bubsy: The Woolies Strike Back~Platform~Black Forest Games~Accolade~Console~Oct 31, 2017~Oct 31, 2017~Oct 31, 2017~
